Discount,Buy_One_Get_One,Minimum Discount,Urban,Rural,Surburban,Web,Phone,Multichannel,Bundeled offers,CLTV_12_Months,Rabbit Night Light,Hot Water Bottle Keep Calm ,Hand Warmer Owl Design,Bicycle Puncture Repair Kit  ,Please One Person Metal Sign,Giant 50's Christmas Cracker,Set of 20 Vintage Christmas Napkins,Assorted Colour Bird Ornament,Retrospot Tea Set Ceramic 11 PC,Popcorn Holder,Retrospot Heart Hot Water Bottle
0,0,1,0,0,1,0,0,1,0,1326463.922,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.13,0.55,0.06
0,1,0,0,0,1,0,1,0,0,1473011.057,0.44,0.66,0.55,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
1,0,0,1,0,0,0,1,0,0,378794.2591,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,1,0,0,0,1,0,1,0,0,611164.3735,0.06,0.11,0.06,0.66,0.18,0.4,0.66,0.09,0.13,0.08,0.06
0,0,1,0,0,1,1,0,0,0,779940.988,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.08,0.55,0.06
1,0,0,1,0,0,1,0,0,0,470525.1041,0.06,0.11,0.16,0.16,0.18,0.16,0.66,0.16,0.13,0.16,0.06
1,0,0,0,0,1,1,0,0,0,692774.564,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,1,0,0,0,1,0,0,1,0,955927.2046,0.66,0.66,0.83,0.5,1,0.55,0.8,0.25,0.1,0.08,?
1,0,0,0,0,1,1,0,0,0,2202358.207,0.6,0.08,0.23,0.44,0.08,0.08,0.08,0.8,0.11,0.08,?
0,0,1,1,0,0,0,0,1,0,797240.1654,0.33,1,0.4,0.44,0.57,?,0.4,0.57,0.44,0.12,?
0,0,1,0,0,1,0,1,0,0,257431.8533,0.12,0.66,?,0.12,0.88,0.12,0.55,0.19,0.09,0.22,0.16
0,1,0,0,0,1,1,0,0,0,448624.9454,?,0.8,?,0.8,?,0.17,?,0.14,0.17,?,?
0,1,0,0,0,1,0,1,0,0,203218.8775,?,0.66,?,0.24,?,?,?,0.19,?,?,?
0,0,1,0,1,0,1,0,0,0,664752.0388,?,0.66,?,0.24,?,?,?,0.19,?,?,?
0,0,1,1,0,0,0,1,0,0,657726.8797,0.44,0.66,?,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
0,1,0,1,0,0,1,0,0,0,2013340.046,0.8,0.66,0.21,0.17,?,0.8,0.21,0.19,?,0.17,?
1,0,0,1,0,0,1,0,0,0,982659.9722,0.57,0.66,0.21,0.66,0.85,0.71,0.57,0.8,0.12,0.12,?
0,0,1,0,1,0,0,1,0,0,961154.9615,0.4,?,0.29,0.66,0.13,0.13,?,0.4,0.13,0.23,?
0,1,0,0,0,1,1,0,0,1,713540.6722,0.66,0.66,0.83,0.5,1,0.55,0.8,0.25,0.1,0.08,?
0,0,1,1,0,0,1,0,0,0,727467.4938,1,0.66,0.57,0.5,0.6,0.4,0.4,0.57,0.4,0.8,0.06
1,0,0,1,0,0,1,0,0,0,2659144.427,?,0.19,?,?,?,?,?,?,?,?,?
0,1,0,0,0,1,1,0,0,0,307949.943,?,0.66,?,0.24,?,?,?,0.19,?,?,?
1,0,0,0,1,0,1,0,0,0,76029.79193,0.66,0.66,0.83,0.5,1,0.55,0.8,0.25,0.08,0.55,0.06
0,1,0,0,0,1,0,0,1,0,437845.6946,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,1,0,0,0,1,0,0,1,0,177912.0224,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,1,0,1,0,0,0,0,1,0,0,0.66,0.18,1,?,0.83,?,?,?,0.22,?,?
0,0,1,1,0,0,0,0,1,0,1065990.966,0.6,0.08,0.23,0.44,0.08,0.08,0.08,0.8,0.11,0.08,?
0,1,0,1,0,0,1,0,0,0,373240.9099,0.57,0.57,0.66,1,0.85,0.71,0.57,0.14,0.1,0.08,?
0,0,1,1,0,0,0,1,0,0,537048.7586,?,?,?,?,?,0.15,?,?,?,?,?
0,0,1,1,0,0,1,0,0,0,0,0.17,?,0.21,0.57,0.21,?,0.21,?,?,0.17,?
0,1,0,0,1,0,0,1,0,0,1065927.338,?,?,?,?,?,0.15,?,?,?,0.16,?
1,0,0,1,0,0,0,1,0,0,313134.286,?,?,?,?,?,0.15,?,?,?,0.16,?
0,0,1,1,0,0,0,1,0,0,0,0.44,0.66,0.55,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
0,0,1,0,0,1,1,0,0,0,4390115.768,0.33,1,0.16,0.16,0.57,0.16,0.4,0.16,0.44,0.16,?
1,0,0,1,0,0,0,1,0,0,2768609.14,0.8,0.13,0.13,0.57,0.17,0.44,0.13,0.57,0.13,0.13,0.06
0,0,1,0,0,1,0,0,1,0,0,0.54,0.66,0.25,0.12,0.88,0.15,1,0.8,0.12,0.12,0.15
0,0,1,0,0,1,0,0,1,0,0,1,0.8,0.55,0.57,0.62,0.16,0.71,0.16,0.08,0.16,0.06
1,0,0,1,0,0,0,1,0,0,1710583.653,?,?,?,?,?,?,?,?,?,0.16,?
1,0,0,0,0,1,0,1,0,1,0,?,?,?,?,?,?,?,?,?,0.16,?
0,0,1,1,0,0,0,1,0,0,435956.1944,0.08,0.66,0.21,0.66,0.08,0.08,0.08,0.8,0.12,0.12,?
0,0,1,1,0,0,1,0,0,0,63463.79826,0.8,?,0.21,0.17,0.8,0.8,0.21,?,?,0.17,?
1,0,0,0,0,1,1,0,0,0,1399492.794,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,0,1,0,0,1,0,1,0,0,0,0.06,0.11,0.06,0.66,0.18,0.4,0.66,0.09,0.13,0.08,0.06
1,0,0,0,1,0,1,0,0,0,0,?,?,0.16,0.16,?,0.16,?,0.16,?,0.16,?
1,0,0,0,1,0,0,1,0,0,0,0.8,0.16,0.8,0.16,1,0.8,0.8,0.35,0.19,0.8,0.09
1,0,0,1,0,0,1,0,0,0,0,0.8,0.19,0.55,0.57,0.62,0.8,0.21,0.57,0.08,0.17,0.06
0,0,1,0,0,1,1,0,0,0,835427.468,0.54,0.66,0.25,0.12,0.6,0.15,1,?,0.12,0.12,0.15
0,0,1,0,0,1,1,0,0,0,0,1,0.66,0.57,0.5,0.6,0.4,0.4,0.57,0.4,0.8,0.06
1,0,0,1,0,0,0,1,0,0,0,0.3,1,0.2,0.5,0.57,0.4,0.3,0.44,0.4,0.1,0.09
0,0,1,1,0,0,1,0,0,0,0,0.44,0.66,0.55,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
0,1,0,0,0,1,0,0,1,0,0,0.44,0.66,0.55,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
0,0,1,1,0,0,1,0,0,0,4799997.368,0.8,0.8,0.06,0.8,0.18,0.17,0.66,0.14,0.17,0.08,0.06
1,0,0,1,0,0,1,0,0,1,0,0.57,1,0.15,0.15,0.08,0.44,0.15,0.21,0.1,0.15,?
0,0,1,0,1,0,1,0,0,0,333332.1672,?,?,0.14,0.57,0.8,?,?,?,?,0.14,?
1,0,0,1,0,0,1,0,0,0,0,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.08,0.55,0.06
0,1,0,0,0,1,1,0,0,0,0,0.3,1,0.2,0.44,0.57,0.15,0.3,0.44,0.11,0.1,0.09
1,0,0,0,0,1,1,0,0,0,13435180.4,0.8,1,1,1,0.57,0.57,0.4,0.36,0.44,0.13,?
0,0,1,0,0,1,1,0,0,0,3667964.536,0.44,0.66,0.57,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
0,1,0,0,1,0,1,0,0,0,0,0.4,0.36,1,0.8,?,0.15,0.1,0.8,0.16,0.1,0.09
0,0,1,0,0,1,0,1,0,0,512261.9302,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.21,0.1,0.08,?
0,1,0,1,0,0,1,0,0,0,2611354.749,0.57,0.57,0.66,1,0.85,0.71,0.57,0.14,0.1,0.08,?
0,0,1,0,1,0,0,0,1,0,862263.4978,0.4,0.66,0.29,0.66,0.13,0.44,0.55,0.4,0.13,0.23,0.11
0,1,0,0,0,1,0,0,1,1,1320356.304,0.66,0.12,0.57,0.12,0.57,0.12,1,0.19,0.4,0.8,0.16
1,0,0,1,0,0,1,0,0,0,0,0.8,1,1,1,0.08,0.57,0.08,0.36,0.1,0.13,?
0,1,0,1,0,0,0,1,0,0,2154401.489,0.3,1,0.2,0.08,0.08,0.08,0.3,0.44,0.1,0.1,?
1,0,0,1,0,0,0,0,1,0,1646962.206,0.6,0.08,0.23,0.44,0.08,0.08,0.08,0.8,0.11,0.08,?
1,0,0,0,0,1,0,1,0,1,465778.5378,1,0.8,0.14,0.57,0.8,0.44,0.71,0.57,0.08,0.14,0.06
0,0,1,0,0,1,1,0,0,0,0,0.3,1,0.2,0.44,0.57,0.15,0.3,0.44,0.11,0.1,0.09
0,1,0,0,0,1,0,1,0,1,258669.1374,?,?,?,?,?,0.15,?,?,?,?,?
0,1,0,0,0,1,1,0,0,0,2496673.01,0.6,0.8,0.23,0.44,0.62,0.44,0.71,0.8,0.11,0.55,0.06
0,1,0,0,0,1,1,0,0,0,1289788.381,0.8,1,1,1,0.57,0.57,0.55,0.36,0.09,0.13,0.11
1,0,0,1,0,0,0,0,1,1,3509230.345,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,1,0,1,0,0,0,1,0,0,1476666.942,0.54,0.66,0.25,0.12,0.88,0.15,1,0.8,0.12,0.12,0.15
0,1,0,1,0,0,1,0,0,0,0,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,1,0,0,1,0,0,1,0,1,2384379.331,0.44,0.66,0.23,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
0,0,1,0,0,1,1,0,0,0,2380740.377,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
1,0,0,1,0,0,1,0,0,0,0,0.12,0.12,0.14,0.57,0.8,0.12,?,0.19,?,0.14,0.16
1,0,0,0,0,1,0,1,0,0,1613838.47,0.5,0.83,1,0.62,?,0.15,?,0.8,0.11,0.09,0.19
0,0,1,0,0,1,0,0,1,0,0,?,?,0.16,0.16,?,0.16,?,0.16,?,0.16,?
0,1,0,0,0,1,0,0,1,0,2163997.469,?,?,?,?,?,?,?,?,?,?,?
0,0,1,0,1,0,0,1,0,0,1535534.538,0.8,0.13,0.13,0.44,0.17,0.15,0.13,0.8,0.13,0.13,0.09
0,1,0,1,0,0,0,0,1,0,1019375.452,0.8,0.13,0.13,0.13,0.17,?,0.13,?,0.13,0.13,?
0,0,1,1,0,0,0,0,1,0,2265992.683,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,0,1,1,0,0,0,1,0,0,12744420.41,0.66,0.19,0.16,0.14,0.57,0.17,1,0.17,0.17,0.32,0.16
1,0,0,0,1,0,0,1,0,0,0,0.3,1,0.2,0.57,0.57,0.44,0.3,0.44,0.08,0.1,0.06
0,1,0,1,0,0,1,0,0,0,556819.5917,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
1,0,0,1,0,0,0,1,0,0,260054.9596,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,1,0,1,0,0,0,1,0,0,791738.1415,0.44,0.66,0.08,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
1,0,0,0,0,1,1,0,0,0,0,0.57,1,0.15,0.15,?,0.8,0.15,0.14,0.17,0.17,0.16
0,0,1,0,0,1,0,1,0,0,1247990.316,1,0.8,0.55,0.57,0.62,0.15,0.71,0.57,0.08,0.55,0.06
0,1,0,0,1,0,0,0,1,1,723200.0058,0.06,0.11,0.06,0.66,0.18,0.4,0.66,0.09,0.13,0.08,0.06
0,1,0,1,0,0,0,1,0,0,0,0.57,0.57,0.66,1,0.85,0.71,0.57,0.14,0.1,0.08,?
1,0,0,0,0,1,1,0,0,0,0,0.54,0.66,0.25,0.12,0.88,0.15,1,0.8,0.12,0.12,0.15
1,0,0,0,0,1,0,0,1,0,0,0.8,0.13,0.13,0.13,0.17,?,0.13,?,0.13,0.13,?
0,1,0,1,0,0,1,0,0,0,2814805.349,0.3,1,0.2,0.44,0.57,0.15,0.3,0.44,0.11,0.1,0.09
0,1,0,0,1,0,0,0,1,1,0,0.4,0.36,1,0.8,?,0.15,0.1,0.8,0.16,0.1,0.09
1,0,0,0,0,1,0,1,0,0,1606814.426,0.8,0.66,0.21,0.17,?,0.8,0.21,0.8,0.12,0.17,?
0,0,1,1,0,0,0,1,0,0,0,0.14,0.14,0.21,0.57,0.8,0.17,?,0.8,0.12,0.14,?
1,0,0,1,0,0,0,1,0,0,789547.3131,0.14,0.14,0.21,0.44,0.8,?,0.4,0.57,0.44,0.14,?
0,1,0,1,0,0,0,0,1,0,65961.66491,0.08,0.08,0.08,0.08,0.18,0.08,0.08,0.21,0.13,0.08,0.06
1,0,0,1,0,0,1,0,0,0,0,0.57,1,0.15,0.15,?,0.44,0.15,?,?,0.15,?
0,0,1,0,1,0,1,0,0,0,3246799.257,0.8,0.8,0.18,0.57,?,0.8,0.21,0.16,?,0.17,?
1,0,0,0,0,1,0,1,0,0,1638718.516,0.44,0.66,0.06,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
0,0,1,0,0,1,0,1,0,0,398318.7207,?,0.8,?,0.8,?,0.17,?,0.14,0.17,?,?
0,1,0,0,0,1,1,0,0,1,989667.3818,0.6,0.8,0.23,0.44,0.62,0.44,0.71,0.8,0.11,0.55,0.06
0,0,1,0,1,0,1,0,0,0,0,0.6,0.8,0.23,0.44,0.62,0.44,0.71,0.8,0.11,0.55,0.06
0,1,0,0,1,0,0,1,0,0,0,0.44,0.66,0.55,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
1,0,0,0,0,1,1,0,0,0,3334507.823,0.57,0.57,0.66,1,0.85,0.71,0.57,0.14,0.14,0.14,?
0,1,0,1,0,0,0,1,0,1,1001439.633,0.5,0.83,1,0.62,0.16,0.16,0.16,0.8,0.12,0.16,0.19
0,0,1,1,0,0,1,0,0,0,921463.1819,0.6,0.8,0.23,0.44,0.62,0.44,0.71,0.8,0.11,0.55,0.06
0,0,1,1,0,0,1,0,0,0,547027.9325,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.13,0.55,0.06
1,0,0,0,1,0,1,0,0,0,0,0.66,0.66,0.83,0.5,1,0.55,0.8,0.25,0.1,0.08,?
0,0,1,0,0,1,0,1,0,0,0,0.8,1,1,1,0.57,0.57,0.71,0.36,0.08,0.13,0.06
0,0,1,1,0,0,1,0,0,0,0,0.57,0.57,0.66,1,0.85,0.71,0.57,0.14,0.14,0.14,?
0,0,1,0,0,1,0,1,0,0,982076.7861,0.57,1,0.16,0.5,0.57,0.44,1,?,0.24,0.15,0.16
0,1,0,1,0,0,0,1,0,0,0,1,0.36,0.44,0.8,0.57,0.1,0.11,0.8,0.5,1,?
0,1,0,0,0,1,0,1,0,0,0,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
1,0,0,1,0,0,0,1,0,0,2121249.609,0.08,0.66,0.21,0.66,0.08,0.08,0.08,0.8,0.12,0.12,?
0,1,0,0,0,1,1,0,0,0,5176558.117,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.13,0.55,0.06
0,0,1,0,0,1,1,0,0,0,2870779.848,0.5,0.83,1,0.66,0.57,0.44,1,0.8,0.24,0.32,0.16
0,1,0,1,0,0,0,0,1,0,0,0.3,1,0.2,0.66,0.18,0.4,0.3,0.44,0.13,0.1,0.06
0,1,0,0,0,1,0,1,0,1,0,1,0.8,0.16,0.16,0.21,0.16,0.71,0.16,0.08,0.16,0.06
0,1,0,0,0,1,1,0,0,1,0,0.14,0.14,0.14,0.57,0.8,?,?,0.8,0.12,0.14,?
1,0,0,1,0,0,1,0,0,0,2823563.799,0.12,0.8,0.55,0.8,0.62,0.12,0.71,0.19,0.08,0.55,0.16
0,1,0,0,0,1,1,0,0,1,1716233.49,0.6,0.08,0.23,0.44,0.08,0.08,0.08,0.8,0.11,0.08,?
0,0,1,1,0,0,1,0,0,0,0,1,0.36,0.44,0.8,0.1,0.11,0.11,0.8,0.5,1,?
1,0,0,1,0,0,1,0,0,1,0,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
1,0,0,0,0,1,1,0,0,1,489989.7897,0.08,0.08,0.08,0.08,0.18,0.08,0.08,0.21,0.13,0.08,0.06
1,0,0,0,1,0,0,0,1,0,1246415.964,0.57,1,0.16,0.57,0.57,0.44,1,0.57,0.24,0.15,0.16
0,0,1,0,0,1,0,1,0,0,0,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.13,0.55,0.06
0,1,0,1,0,0,0,1,0,0,1404824.437,0.66,0.11,0.16,0.66,0.57,0.4,1,0.09,0.24,0.32,0.16
1,0,0,1,0,0,0,1,0,0,0,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
1,0,0,0,1,0,0,0,1,0,2458594.857,0.44,0.66,0.55,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
0,0,1,1,0,0,0,1,0,0,0,0.33,1,0.4,0.44,0.57,0.4,0.4,0.57,0.44,0.12,0.09
1,0,0,0,0,1,0,1,0,0,1310220.457,0.33,0.66,0.21,0.66,0.57,?,0.4,0.8,0.12,0.12,?
0,1,0,0,0,1,0,1,0,0,0,?,?,?,?,?,?,?,?,?,0.16,?
0,1,0,0,0,1,0,1,0,1,959593.4284,0.33,1,0.4,0.44,0.57,0.44,0.4,0.57,0.44,0.12,0.06
0,1,0,1,0,0,1,0,0,0,0,0.66,0.18,1,0.66,0.83,?,?,0.8,0.22,0.12,?
0,1,0,0,0,1,0,1,0,0,432908.2817,0.12,0.66,1,0.66,0.57,0.12,0.13,0.19,?,0.13,0.16
0,1,0,0,0,1,0,0,1,1,0,0.14,0.14,0.21,0.57,0.8,0.44,0.71,0.57,0.08,0.14,0.06
1,0,0,1,0,0,0,1,0,0,0,0.33,1,0.4,0.44,0.57,0.08,0.4,0.57,0.44,0.12,?
0,1,0,0,0,1,1,0,0,0,213031.2577,0.44,0.66,0.21,0.66,0.88,0.44,0.55,0.8,0.12,0.12,0.11
1,0,0,0,1,0,1,0,0,0,0,0.17,?,0.21,0.16,0.21,0.16,0.21,0.16,0.13,0.17,?
0,1,0,1,0,0,1,0,0,1,0,0.08,0.08,0.08,0.08,0.6,0.08,0.08,0.21,0.1,0.8,0.09
0,1,0,1,0,0,1,0,0,1,1005657.957,0.44,0.66,0.21,0.66,0.88,0.44,0.55,0.8,0.12,0.17,0.11
0,1,0,1,0,0,1,0,0,0,802674.0001,0.3,1,0.2,0.66,0.18,0.4,0.3,0.44,0.13,0.1,0.06
0,1,0,0,0,1,0,0,1,0,762773.4828,0.44,0.66,0.23,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
1,0,0,0,0,1,0,1,0,0,0,0.57,0.66,0.15,0.24,?,0.44,0.15,0.19,?,0.15,?
1,0,0,0,0,1,0,0,1,0,774159.4376,0.3,1,0.2,0.44,0.57,0.15,0.3,0.44,0.11,0.1,0.09
1,0,0,0,0,1,1,0,0,0,0,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.08,0.55,0.06
0,0,1,0,0,1,1,0,0,0,1432761.766,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.13,0.55,0.06
0,0,1,0,1,0,1,0,0,0,414726.3573,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,1,0,0,0,1,0,1,0,0,1197734.172,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,1,0,1,0,0,1,0,0,1,0,0.33,1,0.4,0.44,0.57,0.4,0.4,0.57,0.44,0.12,0.06
0,1,0,0,0,1,1,0,0,0,0,0.66,0.66,0.83,0.5,1,0.55,0.8,0.25,0.1,0.08,?
0,1,0,1,0,0,0,1,0,0,2048687.722,0.33,1,0.4,0.44,0.57,0.08,0.4,0.57,0.44,0.12,?
0,0,1,1,0,0,1,0,0,0,1508549.237,0.66,0.57,1,0.57,0.57,0.45,0.13,0.16,?,0.16,?
0,1,0,0,0,1,0,1,0,0,0,?,?,?,?,?,0.15,?,?,?,?,?
0,1,0,0,0,1,0,1,0,0,0,0.12,0.12,?,0.12,?,0.15,?,0.19,?,?,0.16
1,0,0,1,0,0,0,0,1,1,415744.7986,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,0,1,0,0,1,1,0,0,0,0,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.13,0.55,0.06
0,1,0,1,0,0,1,0,0,1,0,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
